,FIPS,County Name,State,Population,2012 Crimes,"2012 Crime Rate Per 10,000",2013 Crimes,"2013 Crime Rate Per 10,000",2014 Crimes,"2014 Crime Rate Per 10,000",2015 Crimes,"2015 Crime Rate Per 10,000",2016 Crimes,"2016 Crime Rate Per 10,000",Total Crimes,2012-2016 Combined Crime Rate,2012-2016 Average Crime Rate
0,01001,Autauga,Alabama,55049.0,0.0,0.0,2.0,3.633,4.0,7.266,1.0,1.817,0.0,0.0,7.0,0.0,2.5432
1,01003,Baldwin,Alabama,199510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.501,1.0,0.0,0.1002
2,01005,Jefferson,Alabama,26614.0,6.0,22.545,0.0,0.0,3.0,11.272,7.0,26.302,11.0,41.332,27.0,22.545,20.2902
3,01007,Lauderdale,Alabama,22572.0,0.0,0.0,2.0,8.861,0.0,0.0,0.0,0.0,1.0,4.43,3.0,0.0,2.6582
4,01009,Talladega,Alabama,57704.0,0.0,0.0,0.0,0.0,2.0,3.466,0.0,0.0,0.0,0.0,2.0,0.0,0.6932
5,01011,Tuscaloosa,Alabama,10552.0,0.0,0.0,1.0,9.477,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8954
6,01013,Anchorage,Alaska,20280.0,6.0,29.586,8.0,39.448,5.0,24.655,4.0,19.724,4.0,19.724,27.0,29.586,26.6274
7,01015,Fairbanks North Star,Alaska,115883.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.863,0.0,0.0,1.0,0.0,0.1726
8,01017,Juneau,Alaska,34018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.638,6.0,0.0,3.5276000000000005
9,01019,Kenai Peninsula,Alaska,25897.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.861,0.0,0.0,1.0,0.0,0.7722
10,01021,Matanuska-Susitna,Alaska,43817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.282,1.0,0.0,0.45640000000000003
